time,cleaning
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,3.080
7,3.080
8,3.080
10,3.080
11,3.080
13,5.920
15,6.080
16,6.080
18,6.160
19,6.160
20,6.160
21,6.160
22,6.160
23,6.160
24,6.160
25,6.160
26,6.160
27,6.160
28,6.160
30,6.160
32,12.560
34,12.560
35,12.560
36,12.560
38,14.720
40,14.720
41,14.720
42,14.720
43,14.720
44,14.720
47,17.720
49,17.840
51,17.920
53,17.920
54,17.920
55,17.920
56,17.920
58,17.920
59,17.920
60,17.920
61,17.920
62,21.760
63,21.760
65,21.840
66,21.840
67,21.840
68,21.840
69,21.840
70,21.840
71,21.840
74,25.480
75,25.480
77,26.400
79,26.600
81,26.600
83,26.640
84,26.640
86,26.720
87,26.760
88,26.800
90,26.800
91,26.800
92,26.800
95,26.800
97,26.800
98,26.840
100,26.840
102,26.880
103,26.880
105,26.880
106,26.880
108,26.880
110,26.880
112,26.920
113,26.920
114,26.920
116,26.920
117,26.920
118,26.920
121,26.920
123,26.920
125,26.920
126,26.920
127,26.920
128,26.920
129,26.920
130,26.920
131,26.920
132,26.920
133,26.920
134,26.920
136,31.440
138,31.440
139,31.440
140,31.440
141,31.440
143,31.440
145,31.480
147,31.480
149,31.480
150,31.480
153,31.480
154,31.480
155,31.520
157,31.520
158,31.520
159,31.520
160,31.520
161,31.520
162,31.520
165,33.200
166,33.200
167,33.200
170,34.480
171,34.480
173,34.920
174,35.080
176,35.160
177,35.160
178,35.160
179,35.160
180,35.160
181,35.160
182,35.160
183,35.160
184,35.160
185,35.160
186,35.160
187,35.160
189,40.040
192,40.040
193,40.040
194,40.040
195,40.040
196,40.040
197,40.040
198,40.040
199,40.040
200,40.040
201,42.920
203,42.920
205,42.920
207,43.000
209,43.000
210,43.000
212,43.240
214,43.280
215,43.280
217,43.320
218,43.320
220,43.360
221,43.360
222,43.360
223,43.360
224,43.360
225,44.240
227,44.240
228,44.240
229,44.240
230,44.240
231,44.240
232,44.240
234,44.240
235,44.240
236,44.240
237,46.080
240,46.080
242,46.080
243,46.080
246,46.080
248,46.080
250,46.080
