time,cleaning
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
11,0.000
13,3.040
14,3.040
15,3.040
16,3.040
17,3.040
18,3.040
19,3.040
20,3.040
21,3.040
22,3.040
24,8.560
25,8.560
26,8.560
27,8.560
28,8.560
30,8.560
31,8.560
32,8.560
33,8.560
34,8.560
36,14.120
37,14.120
38,14.120
39,14.120
40,14.120
41,14.120
42,14.120
43,14.120
44,14.120
45,14.120
47,19.680
48,19.680
49,19.680
50,19.680
51,19.680
52,19.680
53,19.680
54,19.680
55,19.680
56,19.680
57,23.080
59,23.080
60,23.440
61,23.840
62,24.240
63,24.640
64,25.040
65,25.440
66,25.840
67,26.240
68,26.440
69,26.840
70,27.240
71,27.640
72,28.040
73,28.440
74,28.920
75,29.320
77,29.640
79,30.160
80,30.320
81,30.760
82,31.160
83,31.560
84,31.960
85,32.160
86,32.640
88,33.040
89,33.360
90,33.760
91,34.040
92,34.440
93,34.840
94,35.320
95,35.560
96,35.920
98,36.240
99,36.680
100,36.880
101,37.360
103,37.760
104,38.160
105,38.440
106,38.920
108,39.320
109,39.840
110,40.040
111,40.360
112,40.760
114,41.240
115,41.600
116,42.000
117,42.400
119,42.640
120,42.840
121,43.040
122,43.520
123,43.920
124,44.320
125,44.520
126,44.600
127,44.800
128,45.280
129,45.440
131,45.680
132,45.920
133,46.120
134,46.600
135,47.000
136,47.400
137,47.560
138,48.000
139,48.160
140,48.400
142,48.680
143,48.880
144,49.360
145,49.600
146,49.760
147,49.880
148,50.360
149,50.760
150,50.960
152,51.280
153,51.440
154,51.720
155,52.200
156,52.400
158,52.560
159,52.840
160,53.240
161,53.560
162,54.000
164,54.400
165,54.720
166,55.120
167,55.400
169,55.520
170,55.680
171,56.000
172,56.240
173,56.600
174,56.760
175,57.240
176,57.640
178,58.040
179,58.440
180,58.720
181,59.040
182,59.200
184,59.680
185,59.840
186,60.320
187,60.720
189,60.960
190,61.280
191,61.680
192,62.000
194,62.320
195,62.560
196,62.960
197,63.280
199,63.800
200,63.960
201,64.240
202,64.600
204,64.840
205,64.960
206,65.000
208,65.480
209,65.800
210,66.080
211,66.320
212,66.800
213,67.200
214,67.600
215,67.800
217,68.000
218,68.200
219,68.400
220,68.440
221,68.600
222,68.720
223,69.200
224,69.600
226,69.920
227,70.400
228,70.760
229,70.840
230,71.320
232,71.720
233,72.120
234,72.320
236,72.480
237,72.880
238,73.000
240,73.160
241,73.480
242,73.800
244,73.960
245,74.400
246,74.720
247,75.120
248,75.440
250,75.760
251,76.080
252,76.320
253,76.720
255,77.120
256,77.520
257,77.920
259,78.040
260,78.200
261,78.640
262,78.880
264,79.280
265,79.600
266,79.840
268,80.000
269,80.320
270,80.640
271,80.880
272,81.160
274,81.360
275,81.840
276,82.160
277,82.680
278,82.920
280,83.200
281,83.560
282,83.880
283,84.120
284,84.320
286,84.720
287,85.120
289,85.480
290,85.840
291,86.000
293,86.480
294,86.840
295,87.160
296,87.640
297,87.880
298,88.040
299,88.280
300,88.600
302,89.080
303,89.200
304,89.400
305,89.880
306,90.040
308,90.200
310,90.720
311,91.120
312,91.360
313,91.600
314,91.800
315,92.040
316,92.400
318,92.560
320,93.040
321,93.240
323,93.600
325,93.840
327,93.960
338,93.960
345,93.960
369,93.960
371,93.960
374,93.960
398,93.960
400,93.960
403,93.960
427,93.960
481,93.960
483,93.960
507,93.960
509,94.000
510,94.080
511,94.120
512,94.240
514,94.240
515,94.240
517,94.280
518,94.280
519,94.280
521,94.280
522,94.280
523,94.280
524,94.280
527,94.280
528,94.280
531,94.280
532,94.280
533,94.280
535,94.280
536,94.280
537,94.280
539,94.320
540,94.320
541,94.320
542,94.320
543,94.320
545,94.320
546,94.320
547,94.320
548,94.320
549,94.320
551,94.360
552,94.360
553,94.360
554,94.360
555,94.360
556,94.360
557,94.360
559,94.440
560,94.440
561,94.440
562,94.440
564,94.440
565,94.440
566,94.440
567,94.440
568,94.440
569,94.440
570,94.440
571,94.440
574,94.520
575,94.520
576,94.520
577,94.520
578,94.520
579,94.520
580,94.520
581,94.520
582,94.520
583,94.520
586,94.600
587,94.600
611,94.600
612,94.600
613,94.600
614,94.600
615,94.600
616,94.600
617,94.600
618,94.600
619,94.600
620,94.600
621,94.600
622,94.600
623,94.600
624,94.600
625,94.600
626,94.600
627,94.600
628,94.600
629,94.600
630,94.600
631,94.600
632,94.600
633,94.600
634,94.600
635,94.600
636,94.600
637,94.600
638,94.600
639,94.600
640,94.600
641,94.600
642,94.600
643,94.600
644,94.600
645,94.600
646,94.600
647,94.600
648,94.600
650,94.600
651,94.600
652,94.600
653,94.600
654,94.600
655,94.600
656,94.600
657,94.600
658,94.600
659,94.600
660,94.600
661,94.600
662,94.600
663,94.600
664,94.600
665,94.600
666,94.600
667,94.600
668,94.600
669,94.600
670,94.600
671,94.600
672,94.600
673,94.600
674,94.600
675,94.600
676,94.600
677,94.600
678,94.600
679,94.600
680,94.600
681,94.600
682,94.600
683,94.600
684,94.600
685,94.600
686,94.600
687,94.600
688,94.600
689,94.600
690,94.600
692,94.600
693,94.600
694,94.600
695,94.600
696,94.600
697,94.600
698,94.600
699,94.600
700,94.600
