time,velocity,x,y
1,0.496,-0.000,-0.245
2,0.496,0.000,-0.753
3,0.496,0.000,-1.261
4,0.496,0.000,-1.769
5,0.496,0.000,-2.277
6,0.012,-0.002,-2.254
7,0.487,-0.074,-2.262
8,0.496,-0.582,-2.245
9,0.496,-1.089,-2.229
10,0.496,-1.597,-2.212
11,0.496,-2.104,-2.196
12,0.248,-2.253,-2.192
13,0.501,-2.277,-2.179
14,0.011,-2.300,-2.084
15,0.011,-2.294,-2.081
16,0.232,-2.250,-2.059
17,0.013,-2.257,-2.063
18,0.050,-2.267,-2.064
19,0.496,-2.020,-1.847
20,0.496,-1.627,-1.525
21,0.496,-1.234,-1.203
22,0.496,-0.842,-0.881
23,0.496,-0.449,-0.559
24,0.496,-0.056,-0.237
25,0.496,0.337,0.085
26,0.496,0.729,0.407
27,0.496,1.122,0.729
28,0.496,1.515,1.051
29,0.496,1.908,1.373
30,0.496,2.300,1.695
31,0.028,2.270,1.668
32,0.016,2.293,1.688
33,0.496,2.304,1.319
34,0.496,2.318,0.812
35,0.496,2.333,0.304
36,0.496,2.347,-0.204
37,0.007,2.345,-0.134
38,0.255,2.336,-0.144
39,0.012,2.256,-0.156
40,0.473,2.237,-0.197
41,0.496,2.018,-0.654
43,0.496,1.798,-1.112
44,0.496,1.579,-1.570
45,0.496,1.359,-2.028
46,0.248,1.231,-2.310
47,0.310,1.267,-2.268
48,0.028,1.250,-2.253
49,0.014,1.270,-2.275
50,0.016,1.183,-2.298
51,0.021,1.179,-2.291
52,0.023,1.143,-2.256
53,0.050,1.154,-2.268
54,0.499,1.022,-2.204
55,0.496,0.565,-1.982
56,0.496,0.108,-1.761
57,0.496,-0.348,-1.539
58,0.496,-0.805,-1.317
59,0.496,-1.262,-1.095
60,0.496,-1.719,-0.874
61,0.496,-2.176,-0.652
62,0.025,-2.251,-0.624
63,0.017,-2.246,-0.632
64,0.023,-2.243,-0.627
65,0.028,-2.261,-0.643
66,0.496,-2.185,-0.311
67,0.496,-2.075,0.185
68,0.496,-1.965,0.681
69,0.496,-1.855,1.177
70,0.496,-1.745,1.672
71,0.496,-1.635,2.168
72,0.023,-1.624,2.252
73,0.034,-1.608,2.270
74,0.496,-1.904,2.178
